Episode,Reward,Loss,Duration
0,0.6913365125656128,-0.3603999614715576,74
1,0.20048688352108002,-1.4398232698440552,25
2,0.011733394116163254,-0.028913021087646484,5
3,0.048602230846881866,1.337193489074707,9
4,0.22112105786800385,-4.291837692260742,26
5,0.15116599202156067,-5.976241588592529,19
6,0.0651683583855629,-1.6711628437042236,11
7,0.3821555972099304,-6.31353759765625,44
8,0.19893039762973785,-3.8312039375305176,25
9,0.038931623101234436,-2.13023042678833,8
10,0.13113193213939667,-6.166028022766113,18
11,0.011953754350543022,0.28827333450317383,5
12,0.4906945824623108,1.3711538314819336,56
13,0.04894353076815605,-3.5580596923828125,9
14,0.1785806119441986,-8.746091842651367,22
15,0.11112887412309647,-6.7790632247924805,15
16,0.04835037142038345,2.0318350791931152,9
17,0.003255613148212433,-0.27223706245422363,4
18,0.19432099163532257,-0.22302770614624023,24
19,0.11789241433143616,3.3581862449645996,17
20,0.0032457783818244934,-0.8128371238708496,4
21,0.12191340327262878,-9.16030216217041,16
22,0.028208859264850616,-1.1349890232086182,7
23,0.05524904280900955,-0.655858039855957,10
24,0.3534829616546631,3.743530750274658,42
25,0.2700633406639099,-17.30857276916504,32
26,0.10695642977952957,-3.9926671981811523,15
27,0.0874231681227684,-6.862405300140381,13
28,0.3761269450187683,-23.268901824951172,42
29,0.012128982692956924,-0.5886417031288147,5
30,0.1300009936094284,-3.228945732116699,18
31,0.04703684151172638,1.8009042739868164,9
32,0.08033859729766846,-5.673239231109619,12
33,0.21200814843177795,12.479032516479492,26
34,0.03165450692176819,-1.468475580215454,7
35,0.1920057088136673,-2.879828929901123,24
36,0.011358194053173065,-2.192838668823242,5
37,0.27915602922439575,-11.369563102722168,33
38,0.31752994656562805,-5.024814128875732,38
39,0.0032509956508874893,-0.3780478239059448,4
40,0.0491032600402832,-3.504131317138672,9
41,0.07115130126476288,-4.776777744293213,11
42,0.1715022772550583,-9.77678108215332,21
43,0.0704880878329277,-4.870440483093262,11
44,0.02845734916627407,0.4670459032058716,7
45,0.3510241210460663,-4.469717025756836,40
46,0.06938084959983826,-6.180378437042236,11
47,0.019702088087797165,-0.4817744493484497,6
48,0.04042038694024086,-1.9513120651245117,8
49,0.08589951694011688,-3.3846945762634277,13
50,0.18118169903755188,-4.195963382720947,22
51,0.1330859214067459,-4.140897274017334,17
52,0.11531221866607666,-5.35764741897583,16
53,0.17733418941497803,-8.627012252807617,22
54,0.02039984241127968,-1.2183573246002197,6
55,0.22186267375946045,-2.206027030944824,26
56,0.10888466984033585,-2.363053321838379,15
57,0.18113239109516144,-9.189300537109375,22
58,0.268948495388031,-6.534695625305176,31
59,0.1719416081905365,-8.14030933380127,21
60,0.20621652901172638,-5.065338134765625,25
61,0.19125156104564667,-9.317906379699707,23
62,0.0694265365600586,-1.579586386680603,11
63,0.34835585951805115,-7.516976356506348,40
64,0.16216416656970978,-0.5100243091583252,20
65,0.10170512646436691,-2.2311434745788574,14
