Episode,Reward,Actor_Loss,Critic_Loss,Duration
0,0.9952825708314776,"[-0.033249445259571075, 0.4045908749103546, -0.2961893677711487, 0.46320950984954834, -0.0282045379281044, 0.05564367026090622, 0.0012082611210644245, -0.028176169842481613, 0.047897592186927795, 0.10263153165578842, -0.044631849974393845, 0.22824342548847198, -0.07336422055959702, 0.02494879812002182, -0.02205789089202881, 0.020236747339367867, -0.08622164279222488, 0.024527711793780327, -0.011194855906069279, 0.026679445058107376, -0.01627335138618946, 0.14162592589855194, -0.05740749463438988, 0.02386009693145752, 0.018336987122893333, -0.053395967930555344, 0.036793213337659836, 0.019058678299188614, 0.0017780514899641275, -0.009831173345446587, -0.08404514938592911, 0.039833489805459976, -0.0078029450960457325, -0.020288318395614624, -0.09833285212516785, 0.16027145087718964, 0.10197758674621582, -0.021884163841605186, 0.18000318109989166, -0.23769482970237732, 0.0030902880243957043, 0.06812209635972977, -0.029380936175584793, 0.029934033751487732, -0.07476578652858734, 0.028037874028086662, -0.03830380365252495, -0.06999009847640991, 0.09896071255207062, -0.2195025384426117, 0.06655513495206833, -0.1604403257369995, 0.07500752061605453, -0.15461118519306183, -0.06854720413684845, -0.19722330570220947, 0.5148078203201294, 0.6627712845802307, 0.20352688431739807, 0.016954978927969933, 0.15167666971683502, -0.1603773832321167, 0.2895534336566925, -0.5555545687675476, -0.5537630319595337, -0.09144201129674911, 0.033888064324855804, 0.05572466552257538, -0.004126885440200567, -0.010492511093616486, -0.09929106384515762, -0.04596301168203354, 0.02064848318696022, 0.20821791887283325, -0.01855744980275631, -0.045387011021375656, -0.08867975324392319, -0.2998895049095154, -0.026857098564505577, 0.06651545315980911, -0.0268168393522501, 0.10005035251379013, -0.15390273928642273, 0.1429971158504486, -0.1984250694513321, 0.17720875144004822, -0.0889727845788002, 0.05050544813275337, -0.22732536494731903, -0.04390920326113701, 0.1727885752916336, 0.10272832214832306, -0.03709297254681587, -0.01693194918334484, 0.0751398503780365, -0.009971722029149532, -0.024452921003103256, -0.00800675805658102, 0.03388228267431259, 0.02391866035759449, -0.016263341531157494, -0.010143948718905449, 0.02671114355325699, -0.011925263330340385, -0.9265478849411011]","[0.0005329735577106476, 0.08590100705623627, 0.04166693612933159, 0.13439495861530304, 0.00046407373156398535, 0.001653773128055036, 8.985005024442216e-07, 0.0004184217832516879, 0.0011362206423655152, 0.0055593582801520824, 0.0012412103824317455, 0.026122407987713814, 0.0027799196541309357, 0.000323784101055935, 0.00035943466355092824, 0.0003109250101260841, 0.0038933507166802883, 0.0003630822757259011, 5.530883208848536e-05, 0.000315163895720616, 0.00010344583279220387, 0.010613061487674713, 0.0023815585300326347, 0.0002928629401139915, 0.00025899283355101943, 0.0014986831229180098, 0.0004403480270411819, 0.0001466620888095349, 1.579755235070479e-06, 7.019136683084071e-05, 0.0034555140882730484, 0.0007658760878257453, 2.8732873033732176e-05, 0.0002133944071829319, 0.004469017032533884, 0.010050966404378414, 0.0045662447810173035, 0.00022533944866154343, 0.012711714021861553, 0.0312393419444561, 5.317427167028654e-06, 0.002057848498225212, 0.000946507032494992, 0.00031938409665599465, 0.0034956641029566526, 0.0002930047339759767, 0.0010826123179867864, 0.0024076164700090885, 0.004653938580304384, 0.019848467782139778, 0.004719564225524664, 0.01202569343149662, 0.007448118180036545, 0.010239037685096264, 0.008265617303550243, 0.01228531263768673, 0.06738076359033585, 0.13369210064411163, 0.012051600962877274, 0.00011086259473813698, 0.009448849596083164, 0.00793253444135189, 0.04329775646328926, 0.16404390335083008, 0.1686745136976242, 0.004605579189956188, 0.0005370834260247648, 0.001572275534272194, 5.552668426389573e-06, 7.076982728904113e-05, 0.004656890872865915, 0.0005529181216843426, 0.00039941055001690984, 0.042773667722940445, 0.00029591357451863587, 0.0005698561435565352, 0.009750478900969028, 0.07792116701602936, 0.0003829822817351669, 0.0028157331980764866, 0.0004321340820752084, 0.00571810407564044, 0.01449248194694519, 0.008701294660568237, 0.020236622542142868, 0.025054950267076492, 0.003403320675715804, 0.001182383275590837, 0.023491978645324707, 0.0009524062625132501, 0.012866140343248844, 0.0044928425922989845, 0.0005445616552606225, 0.0003366964519955218, 0.0022395611740648746, 0.0001394726859871298, 0.00021184475917834789, 6.911340460646898e-05, 0.0004328642098698765, 0.0005063992575742304, 0.00021754238696303219, 5.090402555651963e-05, 0.00034885579952970147, 7.282838487299159e-05, 0.29207631945610046]",105
1,0.2918955013155937,"[0.08515919744968414, -0.015833277255296707, -0.04321598634123802, -0.13882583379745483, 0.2538609802722931, 0.2658703029155731, -0.22885309159755707, 0.04136679694056511, 0.014670494012534618, -0.03682601451873779, -0.1789984405040741, 0.22921337187290192, 0.15481790900230408, -0.07998277992010117, 0.3311208188533783, -0.24737906455993652, 0.14382857084274292, 0.05103899911046028, 0.012592104263603687, -0.044871777296066284, 0.022257057949900627, 0.004080415237694979, -0.07399506866931915, -0.007364553865045309, 0.1392219066619873, -0.04664606600999832, -0.005593824665993452, 0.14326737821102142, 0.08269155025482178, -0.11930043250322342, 0.00496176490560174, 0.04743707925081253, -0.009428498335182667, 0.053300973027944565, 0.14537575840950012, -1.4952903985977173]","[0.003873386885970831, 0.00012632081052288413, 0.0008541811257600784, 0.008571344427764416, 0.05597236007452011, 0.03311397507786751, 0.03270929679274559, 0.0010548150166869164, 0.00012948342191521078, 0.0006882845773361623, 0.014944477006793022, 0.01646536774933338, 0.02051241509616375, 0.0027928524650633335, 0.060878921300172806, 0.03929661959409714, 0.014190354384481907, 0.0010817177826538682, 5.449284799396992e-05, 0.0008194580441340804, 0.0002589166979305446, 1.172043448605109e-05, 0.004914828110486269, 6.679531361442059e-05, 0.02646191231906414, 0.0007130231824703515, 4.0753104258328676e-05, 0.00634793983772397, 0.007748269941657782, 0.005729228723794222, 1.154519668489229e-05, 0.0008782639633864164, 8.290096593555063e-05, 0.003002808429300785, 0.008118459023535252, 0.7943525314331055]",36
2,0.10043389350175858,"[0.1406363844871521, -0.1802366077899933, -0.10554270446300507, 0.08335145562887192, 0.09756327420473099, 0.5124967694282532, -0.47590380907058716, 0.053144585341215134, -0.26644909381866455, -0.173473060131073, 0.3096696436405182, 0.09252332895994186, 0.19074510037899017, 0.01729336380958557, 0.7865390777587891]","[0.009611540473997593, 0.021148212254047394, 0.00410762894898653, 0.006186403334140778, 0.005141143221408129, 0.1455003321170807, 0.12618385255336761, 0.002357734367251396, 0.0415729396045208, 0.016045093536376953, 0.04241563379764557, 0.010820891708135605, 0.01486891694366932, 0.00024740363005548716, 0.3574792444705963]",15
3,0.18417030572891235,"[-0.15641924738883972, 0.05382845923304558, -0.005473347380757332, 0.20711976289749146, -0.04280039295554161, -0.019789637997746468, -0.1637618988752365, 8.277325832750648e-06, 0.4085268974304199, -0.03742920234799385, 0.08370155096054077, 0.003115441184490919, -0.06842152774333954, 0.1275341659784317, 0.3194643557071686, 0.06934753805398941, 0.06567525118589401, 0.11017414182424545, 0.15014778077602386, 0.0034633593168109655, -0.33449825644493103, 0.062432318925857544, -0.8425166010856628]","[0.017913751304149628, 0.0014619204448536038, 9.219240382662974e-06, 0.01162321213632822, 0.0017046979628503323, 0.0001098332431865856, 0.011756954714655876, 1.2366996315904544e-11, 0.05269860848784447, 0.0033963455352932215, 0.0026418135967105627, 4.2673764255596325e-06, 0.010491902008652687, 0.0056600868701934814, 0.02508140169084072, 0.002656454686075449, 0.00248441519215703, 0.00217438698746264, 0.048748526722192764, 3.3296659239567816e-05, 0.31834253668785095, 0.0029728214722126722, 1.1309738159179688]",23
4,0.5777041241526604,"[0.2428421825170517, -0.4218330383300781, 0.6911835074424744, 0.0992870032787323, 0.1069755032658577, -0.7883840203285217, 0.21472088992595673, 0.43879014253616333, 0.07433507591485977, -0.38198092579841614, 0.08371016383171082, 0.4774492084980011, -0.4812062680721283, -0.2858937084674835, -0.10237016528844833, -0.9864883422851562, 0.9079182147979736, -0.016968142241239548, -0.4239882826805115, -0.19649828970432281, 0.5225175023078918, -0.40338820219039917, -0.20569975674152374, 0.5064363479614258, -0.45342013239860535, 0.6363822817802429, -0.3020699620246887, 0.2098306268453598, -0.22659118473529816, -0.13959373533725739, 0.29225319623947144, -0.38170987367630005, -0.4863295555114746, 0.0015410897321999073, 0.18880419433116913, 0.9388103485107422, -0.3060457408428192, 0.621788501739502, -0.34240391850471497, 0.0956384688615799, 0.24782657623291016, -0.07006148248910904, 0.016653303056955338, 0.13410885632038116, -0.042234521359205246, -0.040754418820142746, -0.10282934457063675, 0.17679661512374878, -0.14199911057949066, 0.25890401005744934, 0.2882692515850067, -0.13626126945018768, 0.0859447717666626, 0.07069267332553864, -0.2949542999267578, 0.07832659035921097, -0.4350435733795166, -0.12577438354492188, -0.038494545966386795, 0.08989828824996948, -0.14196395874023438, 0.0456216000020504, -0.23923994600772858]","[0.033748190850019455, 0.07700307667255402, 0.285654753446579, 0.008281134068965912, 0.0073382859118282795, 0.4059872329235077, 0.019943930208683014, 0.1456756442785263, 0.003079737303778529, 0.050966788083314896, 0.0037125900853425264, 0.08049105852842331, 0.0502006933093071, 0.13222193717956543, 0.0038536188658326864, 0.5271767377853394, 0.5272337794303894, 0.00011979872942902148, 0.09311635792255402, 0.018564732745289803, 0.18263787031173706, 0.08150479942560196, 0.020495830103754997, 0.19886483252048492, 0.09644731879234314, 0.17232242226600647, 0.04441487044095993, 0.037094082683324814, 0.022919243201613426, 0.0073801325634121895, 0.0368630513548851, 0.1243954598903656, 0.10227064043283463, 6.06922230872442e-06, 0.10147113353013992, 0.3271232843399048, 0.10156111419200897, 0.16134072840213776, 0.036802493035793304, 0.013725493103265762, 0.033012449741363525, 0.0027442635037004948, 0.00030226176022551954, 0.008108887821435928, 0.0011590936919674277, 0.0018060078145936131, 0.0046460856683552265, 0.01984749361872673, 0.014932187274098396, 0.03157411888241768, 0.06414267420768738, 0.015814848244190216, 0.00633726641535759, 0.0056919832713902, 0.030307462438941002, 0.005874513182789087, 0.19314832985401154, 0.014676619321107864, 0.0013197509106248617, 0.0023884980473667383, 0.0066278292797505856, 0.00037844254984520376, 0.051671549677848816]",63
5,0.8267334345728159,"[0.09349137544631958, -0.0055108824744820595, -0.2032940685749054, -0.7602330446243286, 0.4737434685230255, 0.09487251937389374, 0.04771551862359047, -0.02519627846777439, -0.01841946505010128, 0.03151018172502518, 0.02909504435956478, -0.08383402973413467, 0.08810508996248245, -0.014673450961709023, 0.0188713651150465, -0.0827932208776474, -0.11121968924999237, -0.10613362491130829, 0.341534286737442, 0.12746956944465637, 0.022095762193202972, 0.06098080798983574, 0.035960353910923004, 0.0691147893667221, -0.03686589002609253, 0.09853719919919968, 0.09639246016740799, -0.1843368262052536, 0.17652279138565063, -0.04188660532236099, 0.1712404042482376, -0.06646699458360672, 0.10293903201818466, -0.07365293055772781, 0.03466435894370079, 0.12684348225593567, -0.030380254611372948, 0.004667900037020445, 0.10469581186771393, -0.09283803403377533, 0.15908202528953552, 0.11319207400083542, -0.08601222187280655, 0.0668979287147522, -0.5546841621398926, 0.7437952756881714, 0.04667898267507553, 0.23952047526836395, -0.24172988533973694, 0.032509054988622665, -0.3027700185775757, 0.17652302980422974, 0.14730586111545563, 0.24619105458259583, -0.4796636700630188, -0.004026426468044519, -0.054168809205293655, 0.0693313404917717, 0.07930252701044083, -0.10048898309469223, 0.13296669721603394, -0.04128667339682579, -0.01707593910396099, 0.1349240243434906, -0.02130463346838951, -0.029412338510155678, 0.006954818032681942, 0.08363202214241028, -0.08010952919721603, 0.16009178757667542, 0.022555317729711533, -0.08944447338581085, -0.10129625350236893, 0.08146167546510696, -0.015234069898724556, 0.0667603611946106, 0.05410078912973404, 0.02233024872839451, 0.0008143028244376183, 0.014571606181561947, 0.08632535487413406, -0.009940126910805702, 0.11457258462905884, -0.12933693826198578, 0.10652785748243332, -0.05653192847967148, 0.006931100971996784, -0.21791952848434448, 0.14717786014080048]","[0.0041379909962415695, 2.8782016670447774e-05, 0.03233369067311287, 0.2703471779823303, 0.3363334834575653, 0.004329427611082792, 0.0012462090235203505, 0.0002854026388376951, 0.00015068026550579816, 0.00044873522710986435, 0.0006155531737022102, 0.00313814589753747, 0.003076764289289713, 0.00012236709881108254, 0.000468183949124068, 0.0035687473136931658, 0.003516243305057287, 0.007490788586437702, 0.07611133903265, 0.017594967037439346, 0.00028898444725200534, 0.002708147279918194, 0.0007436799351125956, 0.003181975334882736, 0.000330129376379773, 0.0040616802871227264, 0.0037795540411025286, 0.00834684632718563, 0.017956864088773727, 0.0015740557573735714, 0.010144336149096489, 0.004226258955895901, 0.007500737905502319, 0.002006873022764921, 0.0007283086888492107, 0.008945183828473091, 0.00035491809831000865, 1.3523474990506656e-05, 0.004733874928206205, 0.006154233124107122, 0.011249109171330929, 0.008733171969652176, 0.004552327562123537, 0.0021676577161997557, 0.1580052375793457, 0.19408023357391357, 0.0009965719655156136, 0.03343133255839348, 0.024796411395072937, 0.0004071512958034873, 0.037789326161146164, 0.04854324832558632, 0.013330847956240177, 0.05390332266688347, 0.0829685777425766, 1.295314450544538e-05, 0.0018805983709171414, 0.008323756977915764, 0.002961208112537861, 0.011091760359704494, 0.014539881609380245, 0.000856895640026778, 0.0005573742091655731, 0.007422583643347025, 0.000498325505759567, 0.00036904399166814983, 1.494677781010978e-05, 0.0038242130540311337, 0.006251454818993807, 0.025584794580936432, 0.0002948185137938708, 0.012678583152592182, 0.003515766002237797, 0.0033607785589993, 0.00016682533896528184, 0.0028649193700402975, 0.0011193397222086787, 0.00027481935103423893, 1.5114010238903575e-06, 0.0001132003017119132, 0.004300344735383987, 0.00038121480611152947, 0.006049619521945715, 0.005616154987365007, 0.005366501864045858, 0.0003750835021492094, 0.00026806589448824525, 0.006752845831215382, 0.010620500892400742]",89
6,0.17982201650738716,"[0.6549410820007324, -1.30009126663208, -0.45372912287712097, 0.04539445415139198, -0.016593270003795624, 0.3458505868911743, -0.32741159200668335, 0.006213012151420116, -0.002305312780663371, 0.011260895058512688, -0.010393811389803886, 0.0177320409566164, 0.011827735230326653, -0.054256077855825424, -0.014480515383183956, 0.07067836821079254, -0.05304912105202675, 0.2820820212364197, -0.22469204664230347, 0.014220776967704296, 0.040847260504961014, 0.03816821426153183, 0.21779456734657288]","[0.24361072480678558, 0.45245125889778137, 0.13230477273464203, 0.0015783235430717468, 0.0002346531837247312, 0.09291501343250275, 0.0725683644413948, 1.3362304343900178e-05, 7.112327011782327e-07, 0.00012276830966584384, 0.00011214341066079214, 0.0003566776285879314, 0.00017394626047462225, 0.0006982902996242046, 0.00023335753940045834, 0.0017529969336465001, 0.0010444644140079618, 0.026339836418628693, 0.019888518378138542, 0.0001862167555373162, 0.0019597518257796764, 0.0016576756024733186, 0.05863397940993309]",23
7,0.18339019920676947,"[0.09020711481571198, -0.03385469317436218, -0.00510230241343379, 0.021916037425398827, -0.02849137783050537, 0.0034225385170429945, -0.10348190367221832, 0.04472963884472847, -0.05180492252111435, -0.017124205827713013, 0.5042442083358765, -0.22897587716579437, -0.11871910095214844, -0.011023800820112228, -0.012040714733302593, 0.011621505953371525, -0.03565070033073425, 0.0168310534209013, 0.00815171841531992, 0.0008352583390660584, 0.0026571229100227356, 0.009912841953337193, 0.010068481788039207, 0.1357201188802719]","[0.005219954065978527, 0.0006036528502590954, 0.00012853831867687404, 0.00021550190285779536, 0.0017384306993335485, 6.773524364689365e-05, 0.002327937865629792, 0.0007375755812972784, 0.001182536710985005, 0.0002017581427935511, 0.09670058637857437, 0.06281576305627823, 0.01368529349565506, 0.00010196473158430308, 0.0001757308782543987, 0.00024791096802800894, 0.0017759691691026092, 3.4064665669575334e-05, 3.471980380709283e-05, 1.4627038353864918e-06, 4.015948070446029e-05, 1.6885678633116186e-05, 0.0003323200799059123, 0.0253251101821661]",24
8,0.24207134824246168,"[-0.0739402249455452, -0.11246141046285629, 0.07042542099952698, -0.062464870512485504, 0.11528755724430084, -0.04921133071184158, -0.03092237003147602, -0.03196695074439049, -0.02846851944923401, -0.028363093733787537, 0.001072068465873599, 0.06940816342830658, 0.01163963321596384, -0.0490926057100296, -0.22678741812705994, 0.15182781219482422, -0.008148470893502235, -0.03674573823809624, 0.03707592189311981, -0.03405430540442467, -0.004946490749716759, 0.05850685015320778, -0.05336160957813263, 0.002385868225246668, 0.015958497300744057, -0.01719900779426098, 0.013716911897063255, -0.0014602357987314463, -0.04318392276763916, 0.03907667100429535]","[0.004742807243019342, 0.008263539522886276, 0.003274119459092617, 0.002689229790121317, 0.008758123964071274, 0.000361633108695969, 0.0001466938410885632, 0.005689579993486404, 0.0014258595183491707, 0.0006179889314807951, 1.0405811963209999e-06, 0.006633690092712641, 0.0002663230989128351, 0.0014641318703070283, 0.007812406402081251, 0.0057251183316111565, 0.00013310823123902082, 0.0008263629861176014, 0.0005971598438918591, 0.0007255269447341561, 9.782343840925023e-05, 0.000765931443311274, 0.0019007446244359016, 1.5041370033941348e-06, 0.00034657868673093617, 0.000649592955596745, 0.0012312923790886998, 5.18416027261992e-06, 0.0010949261486530304, 0.017000919207930565]",30
9,0.4150779666379094,"[0.07502955943346024, 0.022103184834122658, 0.0248000118881464, -0.044475868344306946, -0.05173734575510025, 0.01176785584539175, 0.035104088485240936, -0.0366101898252964, 0.020649129524827003, -0.10605797171592712, 0.07620292156934738, 0.11021901667118073, -0.01823027990758419, 0.0024526927154511213, -0.11569979041814804, 0.1543789952993393, -0.1444019079208374, 0.19248183071613312, 0.03585110232234001, -0.26609471440315247, -0.05903337895870209, 0.0174415186047554, 0.007056951988488436, 0.056962788105010986, -0.024907607585191727, -0.015157178975641727, 0.018054064363241196, 0.004693032708019018, 0.0038503091782331467, -0.004126082640141249, 0.0008936957456171513, 0.01683058962225914, -0.012315314263105392, 0.06450261920690536, -0.010497824288904667, -0.002956758951768279, 0.0926331877708435, 0.035913966596126556, -0.10440056771039963, -0.001300420262850821, 0.0012875762768089771, 0.0045565711334347725, 0.012656286358833313, -0.025106841698288918, 0.10966698080301285, 0.020976858213543892, 0.017582030966877937, -0.5452477931976318]","[0.0018789441091939807, 0.00035470054717734456, 0.0005906907026655972, 0.0005073852371424437, 0.0017427837010473013, 0.00011707936209859326, 0.000877775193657726, 0.0008781089563854039, 0.0003642718365881592, 0.008018742315471172, 0.0025067003443837166, 0.009492481127381325, 8.548202458769083e-05, 3.2015163014875725e-05, 0.019338274374604225, 0.013986265286803246, 0.01252442505210638, 0.01951424777507782, 0.0013576637720689178, 0.01780463196337223, 0.002297506434842944, 0.00016806671919766814, 2.975339157273993e-05, 0.0013337999116629362, 0.00042896144441328943, 0.00015354798233602196, 0.00012662068183999509, 9.032314119394869e-05, 0.00010211092740064487, 0.00019158182840328664, 1.4325148185889702e-05, 0.0012794816866517067, 0.0002005812420975417, 0.0030901734717190266, 4.0413997339783236e-05, 9.267534551327117e-06, 0.002339948434382677, 0.0007070639985613525, 0.010680546052753925, 1.0111812116520014e-06, 7.817166988388635e-06, 7.420670590363443e-05, 0.00012493639951571822, 7.266316242748871e-05, 0.008160441182553768, 0.0004209335020277649, 0.00015391824126709253, 0.15302005410194397]",48
