Episode,Reward
0,0.24912540521472692
1,0.3611410269513726
2,0.14506028406322002
3,0.08367862179875374
4,0.07644011080265045
5,0.11466971784830093
6,0.24730365257710218
7,0.28614373225718737
8,0.011908226646482944
9,0.3564413543790579
10,0.03864979650825262
11,0.36590220499783754
12,0.2882887255400419
13,0.1047463808208704
14,0.09524968918412924
15,0.11618807259947062
16,0.08650574553757906
17,0.571119680069387
18,0.14598271995782852
19,0.04676681011915207
