Episode,Reward,Actor_Loss,Critic_Loss,Duration
0,0.33111484069377184,"[-0.005400900729000568, -0.10557733476161957, -0.6803826093673706, 1.1808452606201172, -0.1846253126859665, -0.11764217168092728, 0.6361228227615356, -0.7286763191223145, 0.9680116176605225, -0.0776243507862091, 0.2862458825111389, -0.15677142143249512, 0.1003490686416626, 0.09932990372180939, -0.04956416040658951, 0.05586614832282066, -0.1826162040233612, -0.15303730964660645, 0.2590062916278839, -0.07211747765541077, 0.12706315517425537, 0.5901356339454651, 0.4208335280418396, 0.23517942428588867, 0.22092196345329285, 0.6257960796356201, -2.6272761821746826, 0.8370551466941833, 0.18582072854042053, 0.1181543618440628, 0.07196640223264694, 0.04192699119448662, 0.023286622017621994, 0.011168880388140678, 0.003772367024794221, -0.0006474506226368248, -0.4318180978298187]","[1.5748102669022046e-05, 0.0054997643455863, 0.24688030779361725, 0.6761923432350159, 0.017927465960383415, 0.007598318625241518, 0.17117184400558472, 0.27668818831443787, 0.5702546834945679, 0.00336255831643939, 0.03995356336236, 0.0116760628297925, 0.0066969627514481544, 0.004397480748593807, 0.0010997141944244504, 0.0012662360677495599, 0.013184797018766403, 0.01191863976418972, 0.034304793924093246, 0.0026783221401274204, 0.006721070501953363, 0.23555658757686615, 0.0826154500246048, 0.07017713785171509, 0.08999282121658325, 0.12555941939353943, 2.0873475074768066, 0.23457272350788116, 0.1429262012243271, 0.09875365346670151, 0.06637462228536606, 0.04293561354279518, 0.026134943589568138, 0.012054020538926125, 0.00275923078879714, 0.00016233534552156925, 140.89361572265625]",37
1,0.21396990772336721,"[0.5364124178886414, -0.3856979012489319, 0.18563908338546753, -0.13648229837417603, 0.006099877413362265, 0.012231199070811272, 0.02238338626921177, -0.12241312116384506, 0.25821158289909363, -0.15844011306762695, 0.21680815517902374, -0.19512112438678741, 0.24593713879585266, 0.1138153076171875, 0.2457127869129181, -0.3261755108833313, -0.21240709722042084, -0.5991088151931763, -0.14066313207149506, 0.44743913412094116, -0.2801433205604553, 0.21852616965770721, -0.24705418944358826, -0.29848381876945496, -0.18670737743377686, -0.7682771682739258, 4.4988298416137695]","[0.13833335041999817, 0.10969938337802887, 0.01327257789671421, 0.00953663233667612, 1.4881979950587265e-05, 7.820453174645081e-05, 0.0003439904539845884, 0.009843526408076286, 0.05189943686127663, 0.01292079035192728, 0.033672235906124115, 0.0232684426009655, 0.033556558191776276, 0.007771653588861227, 0.03510221466422081, 0.06289773434400558, 0.027372827753424644, 0.13574978709220886, 0.009786661714315414, 0.08780413866043091, 0.023074427619576454, 0.06411051005125046, 0.05750361457467079, 0.15137307345867157, 0.1039755642414093, 0.06917145103216171, 5.013370037078857]",27
2,0.5612304797396064,"[0.04961147904396057, -0.4661947786808014, -0.4244859516620636, 1.0219311714172363, -0.4270332455635071, -0.2310936599969864, 0.17798101902008057, 0.003870014799758792, 0.2729237377643585, 0.01952972635626793, 0.01842670701444149, -0.06505973637104034, 0.22176384925842285, 0.25286734104156494, -0.3989807367324829, 0.017617085948586464, -0.4223651885986328, -0.09611392021179199, 0.4474932551383972, 0.030751777812838554, 0.11676063388586044, -0.07402171939611435, -0.034925784915685654, -0.009895066730678082, 0.15430837869644165, 0.05760861188173294, 0.14056117832660675, 0.1079254001379013, 0.059210918843746185, 0.05965990573167801, -0.10521136969327927, 0.08558189868927002, 0.5162706971168518, -0.32625359296798706, 0.41912999749183655, 0.01647278480231762, 0.4987233579158783, -0.07331926375627518, -0.08635962754487991, -0.09181851148605347, 0.4465903341770172, -2.709786891937256, -1.0030319690704346, 0.5479937791824341, -0.5030683875083923, 0.1674346923828125, 0.013247336260974407, -0.030782436951994896, 0.14457648992538452, 0.0020562878344208, -0.1349303424358368, -0.10911867022514343, -0.09371450543403625, -0.5621843338012695, -0.052761029452085495, -0.27340927720069885, -0.02202613651752472, 0.09400976449251175, -0.015399144031107426, -0.1188625618815422, 0.8702294826507568]","[0.0011796507751569152, 0.07268800586462021, 0.09536990523338318, 0.3744940161705017, 0.08578605949878693, 0.0445532388985157, 0.029139328747987747, 1.2831156709580682e-05, 0.036894459277391434, 0.00032430500141344965, 0.00016443812637589872, 0.001860467717051506, 0.02115630730986595, 0.028795206919312477, 0.04518280550837517, 0.00028278178069740534, 0.16543370485305786, 0.008489574305713177, 0.06887947767972946, 0.0007877460448071361, 0.003912145737558603, 0.004200109280645847, 0.0007618943927809596, 6.0009460867149755e-05, 0.015604264102876186, 0.0020423925016075373, 0.01305781677365303, 0.006852766033262014, 0.001959910150617361, 0.0021950979717075825, 0.006866677198559046, 0.004140735603868961, 0.08149952441453934, 0.06648342311382294, 0.12253344058990479, 0.00021285317779984325, 0.2088450938463211, 0.005765310488641262, 0.009107775054872036, 0.011282436549663544, 0.28214651346206665, 2.88016676902771, 1.6286193132400513, 0.3342653810977936, 0.08230205625295639, 0.03689006343483925, 8.521193376509473e-05, 0.00022418642765842378, 0.06636179983615875, 8.004844858078286e-06, 0.039101988077163696, 0.04036812111735344, 0.04569625109434128, 0.03723743557929993, 0.030974194407463074, 0.021972721442580223, 0.01183275692164898, 0.3238665461540222, 0.009958729147911072, 0.000845613656565547, 89.24105834960938]",61
3,0.21338689886033535,"[-0.7016962766647339, -0.6563685536384583, -0.14964671432971954, 0.46622133255004883, -0.09260492026805878, 0.008978406898677349, 0.21996083855628967, 0.0165722519159317, 0.012448794208467007, 0.008892065845429897, 0.005403190851211548, 0.002979945158585906, 0.0016406364738941193, 0.0008613782119937241, 0.0004095207841601223, 0.00011726542288670316, -3.267497231718153e-05, -9.229446004610509e-05, -0.00011524256115080789, -0.0001154693090938963, -9.694042091723531e-05, -8.447907748632133e-05, -7.229480252135545e-05, -5.939422771916725e-05, -4.7933503083186224e-05, -0.0014718979364261031]","[0.19175641238689423, 0.15089713037014008, 0.06366667151451111, 0.06172144040465355, 0.0017612719675526023, 0.000642506405711174, 0.005836629308760166, 0.012758083641529083, 0.018065741285681725, 0.023289067670702934, 0.021727364510297775, 0.016601212322711945, 0.012433319352567196, 0.008289087563753128, 0.004432872403413057, 0.0008398551726713777, 0.00014639223809354007, 0.0025448023807257414, 0.00839474331587553, 0.017251204699277878, 0.02404591254889965, 0.034918829798698425, 0.047181762754917145, 0.056788407266139984, 0.06366071850061417, 100.26405334472656]",26
4,0.4069267064332962,"[0.06128329038619995, 0.19859836995601654, -0.10935035347938538, 0.028277819976210594, 0.1740054488182068, 0.03971700742840767, 0.086255744099617, 0.1588239073753357, 0.05751438066363335, -0.1144089624285698, 0.11952241510152817, 0.031555935740470886, -0.004872217774391174, -0.0051664444617927074, 0.0004330620577093214, -0.10365750640630722, 0.1920504868030548, -0.0577826127409935, -0.004318090621381998, -0.09773248434066772, -0.07405945658683777, -0.06335452944040298, 0.020714471116662025, 0.02134683169424534, 0.20836740732192993, -0.10017682611942291, 0.08738631755113602, 0.01138534676283598, 0.055430300533771515, -0.005084210075438023, -0.32053419947624207, -0.8389278650283813, -0.07016956806182861, -0.2483864277601242, -0.09787651896476746, -1.5786659717559814, -0.011708187870681286, -0.00425207894295454, -0.0016138122882694006, -0.0005359206697903574, -0.00013750651851296425, 2.105323255818803e-05, 7.047282997518778e-05, 7.9217272286769e-05, 0.0038387468084692955]","[0.002454653149470687, 0.018223855644464493, 0.008842283859848976, 0.00029053527396172285, 0.010732989758253098, 0.0033338426146656275, 0.002724996767938137, 0.017499100416898727, 0.0009178490727208555, 0.009163478389382362, 0.006885241251438856, 0.0006589791155420244, 1.7097836462198757e-05, 1.7750042388797738e-05, 4.0293954839398793e-08, 0.010793803259730339, 0.029659150168299675, 0.0022897336166352034, 1.897574657050427e-05, 0.009730192832648754, 0.006258231122046709, 0.004913701210170984, 0.0005086248856969178, 0.0005447216099128127, 0.05469265207648277, 0.00927003100514412, 0.007241472601890564, 0.00011094639194197953, 0.0007085998659022152, 1.3771411431662273e-05, 0.05004648491740227, 0.298750102519989, 0.022862285375595093, 0.46120357513427734, 0.3373231589794159, 0.1661171019077301, 0.12188054621219635, 0.08324316143989563, 0.05640498176217079, 0.026366716250777245, 0.006647233851253986, 0.0005401460803113878, 0.019028345122933388, 0.06877753883600235, 421.41357421875]",45
5,0.04079108964651823,"[-2.7787911891937256, -0.29848289489746094, -0.07778437435626984, -0.020472660660743713, -0.005642112344503403, -0.0014236816205084324, -0.00035534193739295006, 0.005900895223021507]","[2.7244069576263428, 1.1858913898468018, 0.5435394644737244, 0.23418927192687988, 0.09710806608200073, 0.029506195336580276, 0.007717764470726252, 7.925179958343506]",8
6,0.21137543581426144,"[-0.14573359489440918, -0.57722008228302, 0.7603599429130554, -0.23356543481349945, 0.5459334254264832, -0.14481182396411896, 0.408255934715271, -0.1656024307012558, 0.5785320997238159, 0.18686960637569427, 1.0945048332214355, 0.0462762676179409, 0.021868623793125153, 0.010452937334775925, 0.005205792840570211, 0.002594433492049575, 0.0012489614309743047, 0.0005587410996668041, 0.00026406318647786975, 0.00011083910067100078, 3.35282129526604e-05, -3.869893589580897e-06, -2.507221870473586e-05, -3.44169711752329e-05, -0.002309216884896159]","[0.012064388021826744, 0.11577757447957993, 0.19295872747898102, 0.05629150941967964, 0.10446913540363312, 0.022434504702687263, 0.051206618547439575, 0.008170442655682564, 0.12478204071521759, 0.1579807847738266, 0.1716945916414261, 0.17109885811805725, 0.14549259841442108, 0.11705771088600159, 0.09444639086723328, 0.07066814601421356, 0.04588849097490311, 0.024046799167990685, 0.01316852681338787, 0.005348434671759605, 0.001063999137841165, 2.9131060728104785e-05, 0.002377298893406987, 0.008255173452198505, 65.20870208740234]",25
7,0.03940727096050978,"[-0.03890198469161987, 0.31362706422805786, 0.6524770855903625, 0.301453560590744, 0.13094131648540497, 0.0496642030775547, 0.017922647297382355, -0.048493362963199615]","[0.0004928275593556464, 0.032334085553884506, 0.14722414314746857, 0.28126728534698486, 0.21576739847660065, 0.14275120198726654, 0.08750093728303909, 2.8827459812164307]",8
8,0.21125451382249594,"[0.12249474227428436, 0.10473021119832993, -0.1443030685186386, -0.005160311236977577, 0.279035359621048, -0.2891710698604584, 0.3038041293621063, -0.12879566848278046, 0.31041353940963745, 0.1539888232946396, 0.07069535553455353, 0.02561851218342781, 0.010211973451077938, 0.003878789022564888, 0.001803870778530836, 0.0006668972782790661, 0.000294332392513752, 0.00013377435971051455, 6.253748142626137e-05, 2.9766188163193874e-05, 1.5825045920792036e-05, 9.403223884874023e-06, 5.450097432913026e-06, 2.633412805153057e-06, -8.802497904980555e-05]","[0.00821565929800272, 0.006359012331813574, 0.006547319702804089, 2.1462843506014906e-05, 0.042376164346933365, 0.031668003648519516, 0.03934420645236969, 0.01692374050617218, 0.06912747025489807, 0.04727194085717201, 0.04249630868434906, 0.026172103360295296, 0.019706299528479576, 0.01299250591546297, 0.012151309289038181, 0.006734143476933241, 0.00496663898229599, 0.0036305489484220743, 0.0026203570887446404, 0.0018280824879184365, 0.001483839238062501, 0.0014065200230106711, 0.0011841219384223223, 0.0006461496232077479, 1.5795940160751343]",25
9,0.02125392109155655,"[-0.1382414549589157, -0.028472060337662697, 0.028147313743829727, 0.021517669782042503, 0.009757325053215027, 0.001382728572934866]","[0.008440013974905014, 0.001767136505804956, 0.0031982879154384136, 0.010968266054987907, 0.014269670471549034, 0.0017203729366883636]",6
