Episode,Reward,Training_error,Duration
0,0.27789390180259943,0.009951561689376831,33
1,0.14576707128435373,0.009945852285749294,21
2,0.3838851060718298,0.009930955518407256,44
3,0.3132298160344362,0.00991224667127375,37
4,0.3148100459948182,0.009889012220173849,37
5,0.9339904757216573,0.00985317420721077,99
6,0.29036981891840696,0.009810186023541952,33
7,1.1130573935806751,0.009774707703366628,117
8,0.1828222442418337,0.009735068627276106,23
9,0.15217915270477533,0.009701784141483377,21
10,0.08849822729825974,0.009672323454299787,13
11,0.17644290626049042,0.00963751673696836,22
12,0.07673176843672991,0.009613965359353969,12
13,0.23293396644294262,0.009594642383986404,28
14,0.020243732258677483,0.0095575835230863,6
15,0.1339264176785946,0.009517074532049771,18
16,0.1632150337100029,0.009494926055836697,22
17,0.545357302762568,0.009463918990684553,61
18,0.15325189009308815,0.009420478730603248,20
19,0.28367200773209333,0.009392574663646883,33
20,0.21107151079922915,0.009341395018088464,26
21,0.7820233767852187,0.009261074270340001,85
22,0.4461292056366801,0.009181560734432099,50
23,0.249379001557827,0.00908710971205652,31
24,0.48575159907341003,0.008963251879368568,55
25,0.1839492516592145,0.008851571493138794,24
26,0.42966311052441597,0.008740013422968049,48
27,0.06635676603764296,0.008631558922830436,11
28,0.34384481329470873,0.008552070645965788,39
29,0.2716243891045451,0.008472573210030034,32
30,0.06705875135958195,0.00840037676295613,11
31,0.3572254301980138,0.008317467436747158,41
32,0.0034297695383429527,-0.02178566386686611,4
33,0.5641104495152831,0.008319923110543614,63
34,0.1423598974943161,0.008329041449754057,19
35,0.17134244833141565,0.008360565182286882,22
36,0.20816573686897755,0.008396340047753637,26
37,0.659617343917489,0.008403436737056538,71
38,-0.013479787856340408,0.008368808134631936,2
39,0.2560901427641511,0.008327224811062343,31
40,0.34613136388361454,0.008297529226923023,40
41,0.26759576238691807,0.008284382887233804,32
42,0.22390785068273544,0.008293488673071137,27
43,0.16613617818802595,0.008336127504066908,21
