Episode,Reward,Training_error,Duration
0,0.27789390180259943,0.009951561689376831,33
1,0.14576707128435373,0.009936685164686238,21
2,0.3838851060718298,0.009933745905665722,44
3,0.3132298160344362,0.00989646378418854,37
4,0.3148100459948182,0.010020845626163429,37
5,0.9339904757216573,0.00988260893577716,99
6,0.29036981891840696,0.009788439129643464,33
7,1.1130573935806751,0.010000589195559018,117
8,0.1828222442418337,0.009515978153926557,23
9,0.15217915270477533,0.009714835101085822,21
10,0.08849822729825974,0.00973569127203708,13
11,0.17644290626049042,0.009452423859902775,22
12,0.07673176843672991,0.009483045529636474,12
13,0.23293396644294262,0.009565772104155153,28
14,0.020243732258677483,0.009673194495643205,6
15,0.1339264176785946,0.009289396767884267,18
16,0.1632150337100029,0.009414593882190543,22
17,0.545357302762568,0.009955949185910598,61
18,0.15325189009308815,0.009152349708572257,20
19,0.28367200773209333,0.00951797392402205,33
20,0.21107151079922915,0.009814831652137737,26
21,0.7820233767852187,0.009331623203844707,85
22,0.4461292056366801,0.009163926576517654,50
23,0.249379001557827,0.009277072809604544,31
24,0.48575159907341003,0.009004911171817759,55
25,0.1839492516592145,0.009072661986481385,24
26,0.42966311052441597,0.008855407996327821,48
27,0.06635676603764296,0.008006504141739678,11
28,0.3545104702934623,0.008385893310005214,40
29,0.2514504259452224,0.008217673807403325,30
30,0.05771461222320795,0.008285684191582312,10
31,0.30299837328493595,0.00837598800226789,35
32,0.08114897459745407,-0.02276177746851315,13
33,0.44756050035357475,0.008127222189973174,51
34,0.19820121210068464,0.008435099990455393,25
35,0.1860459903255105,0.008950157791609993,23
36,0.2675129259005189,0.008421261726543392,32
37,0.637452251277864,0.007778233918016632,70
38,-0.013579227961599827,0.007774063304791737,2
39,0.26758697628974915,0.00868729496905823,32
40,0.32639308273792267,0.008568659403458174,38
41,0.2667058939114213,0.008379591951667653,32
42,0.22390785068273544,0.00849250463092179,27
43,0.2568383701145649,0.009051012456791192,31
44,0.04616026673465967,0.008651654206481951,9
45,0.18281249981373549,0.0077581608095732574,24
46,0.28605544567108154,0.00869551751430434,35
47,0.268600020557642,0.008191207216909201,32
48,0.8712572511285543,0.007690829898083817,92
49,0.29175514355301857,0.007999755681458668,35
50,0.45817113015800714,0.008817193197933025,51
51,0.12253174651414156,0.008192853990043204,17
52,0.16287467908114195,0.00813016248325807,22
53,0.0677202632650733,-0.02064304380196745,11
54,0.07589964754879475,0.008861451416231268,12
55,0.1581198899075389,0.009752082814342271,20
56,0.5408492023125291,0.010019209171075879,59
57,0.3625471042469144,0.010118856876443812,42
58,0.20956592727452517,0.009494665253350397,25
59,0.3101784735918045,0.010073526280329696,39
60,0.37732820585370064,0.009232581394395421,43
61,0.21331931371241808,0.009986025586253278,27
62,0.16142021492123604,0.00896510256252782,22
63,0.07788164541125298,0.00946181690256283,13
64,0.21932491194456816,0.010302044609329979,27
65,0.20765828620642424,0.009412579861152208,25
66,0.4812445379793644,0.008878575432838142,54
67,0.02030703704804182,0.010017125296515297,6
68,0.24315670877695084,0.00884206181797043,31
69,0.045902169309556484,0.009318968246261826,9
70,0.06680262833833694,0.009320144775692587,11
71,0.7871716441586614,0.009855799183814627,84
72,0.2578929094597697,0.009150335184357535,31
73,0.24303287081420422,0.009546287798305152,29
74,0.3202406372874975,0.010149777056562581,36
75,0.2867279564961791,0.009266715523948896,33
76,0.39140404760837555,0.00892133621463364,44
77,0.6378178335726261,0.008904988037215232,69
78,0.3329555792734027,0.008794965155059719,38
