Episode,Reward,Training_error,Duration
0,0.27789390180259943,0.009951561689376831,33
1,0.14576707128435373,0.009945018911069962,21
2,0.3838851060718298,0.009931209402723507,44
3,0.3132298160344362,0.009910811863298044,37
4,0.3148100459948182,0.009901028533014333,37
5,0.9339904757216573,0.009855850091731773,99
6,0.29036981891840696,0.009808321428214202,33
7,1.1130573935806751,0.009795103587496391,117
8,0.1828222442418337,0.009715185560774435,23
9,0.15217915270477533,0.009702561818454025,21
10,0.08849822729825974,0.009678250563874481,13
11,0.17644290626049042,0.009620141152995374,22
12,0.07673176843672991,0.009602408167449956,12
13,0.23293396644294262,0.009591730853970913,28
14,0.020243732258677483,0.00956802017769202,6
15,0.1339264176785946,0.009496590144075136,18
16,0.1632150337100029,0.009487634488308234,22
17,0.545357302762568,0.009509117397139966,61
18,0.15325189009308815,0.009396096031033727,20
19,0.28367200773209333,0.009404051370526254,33
20,0.21107151079922915,0.009385104093416587,26
21,0.7820233767852187,0.009267522585452739,85
22,0.4461292056366801,0.009180328598213812,50
23,0.249379001557827,0.009104050835903632,31
24,0.48575159907341003,0.008967051072355611,55
25,0.1839492516592145,0.008871304342501739,24
26,0.42966311052441597,0.008750521912761973,48
27,0.06635676603764296,0.008575009094181742,11
28,0.34384481329470873,0.008535977474921451,39
29,0.2716243891045451,0.008448321845580663,32
30,0.06705875135958195,0.008389896206166404,11
31,0.3572254301980138,0.008323425928040341,41
32,0.0034297695383429527,-0.02187502976453798,4
33,0.5641104495152831,0.008302152136221316,63
34,0.1423598974943161,0.008338682101480132,19
35,0.17134244833141565,0.008414216339194628,22
36,0.20816573686897755,0.00839860701706068,26
37,0.659617343917489,0.008346074778891316,71
38,-0.013479787856340408,0.008314015274164008,2
39,0.2560901427641511,0.008359447797649449,31
40,0.34613136388361454,0.008321314687465579,40
41,0.26759576238691807,0.008292833587756739,32
42,0.22390785068273544,0.008311235484247717,27
43,0.16613617818802595,0.008401699676001028,21
44,0.029065663926303387,0.0084211302182791,7
45,0.24888245947659016,0.008365134202845206,31
46,0.22148252744227648,0.008490288461505001,28
47,0.28731784131377935,0.008477899930976451,34
48,0.5902908407151699,0.008440201875764426,65
